2025-04-03 14:17:11,082 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:17:11,087 - INFO - CPU: Usage: 37.5%
2025-04-03 14:17:11,087 - INFO - Memory: Usage: 84.3%
2025-04-03 14:17:11,733 - INFO - Software: PID: 4256, Name: svchost.exe, Username: None
2025-04-03 14:17:11,733 - INFO - Software: PID: 4268, Name: sqlceip.exe, Username: None
2025-04-03 14:17:11,733 - INFO - Software: PID: 4272, Name: ibtsiva.exe, Username: None
2025-04-03 14:17:11,734 - INFO - Software: PID: 4280, Name: ssh-agent.exe, Username: None
2025-04-03 14:17:11,734 - INFO - Software: PID: 4288, Name: svchost.exe, Username: None
2025-04-03 14:17:11,734 - INFO - Software: PID: 4304, Name: svchost.exe, Username: None
2025-04-03 14:17:11,735 - INFO - Software: PID: 4312, Name: HotKeyServiceUWP.exe, Username: None
2025-04-03 14:17:11,735 - INFO - Software: PID: 4324, Name: AppHelperCap.exe, Username: None
2025-04-03 14:17:11,735 - INFO - Software: PID: 4340, Name: svchost.exe, Username: None
2025-04-03 14:17:11,735 - INFO - Software: PID: 4344, Name: SysInfoCap.exe, Username: None
2025-04-03 14:17:11,736 - INFO - Software: PID: 4360, Name: DiagsCap.exe, Username: None
2025-04-03 14:17:11,736 - INFO - Software: PID: 4376, Name: NetworkCap.exe, Username: None
2025-04-03 14:17:11,736 - INFO - Software: PID: 4392, Name: sqlwriter.exe, Username: None
2025-04-03 14:17:11,736 - INFO - Software: PID: 4428, Name: MpDefenderCoreService.exe, Username: None
2025-04-03 14:17:11,737 - INFO - Software: PID: 4452, Name: svchost.exe, Username: None
2025-04-03 14:17:11,737 - INFO - Software: PID: 4464, Name: valWBFPolicyService.exe, Username: None
2025-04-03 14:17:11,737 - INFO - Software: PID: 4472, Name: SynTPEnhService.exe, Username: None
2025-04-03 14:17:11,738 - INFO - Software: PID: 4536, Name: OfficeClickToRun.exe, Username: None
2025-04-03 14:17:11,738 - INFO - Software: PID: 4564, Name: svchost.exe, Username: None
2025-04-03 14:17:11,738 - INFO - Software: PID: 4656, Name: MsMpEng.exe, Username: None
2025-04-03 14:17:11,739 - INFO - Software: PID: 4728, Name: svchost.exe, Username: None
2025-04-03 14:17:11,739 - INFO - Software: PID: 4972, Name: svchost.exe, Username: None
2025-04-03 14:17:11,740 - INFO - Software: PID: 5316, Name: dasHost.exe, Username: None
2025-04-03 14:17:11,740 - INFO - Software: PID: 5344, Name: unsecapp.exe, Username: None
2025-04-03 14:17:11,741 - INFO - Software: PID: 5424, Name: svchost.exe, Username: None
2025-04-03 14:17:11,741 - INFO - Software: PID: 5548, Name: LanWlanWwanSwitchingServiceUWP.exe, Username: None
2025-04-03 14:17:11,741 - INFO - Software: PID: 5580, Name: dwm.exe, Username: None
2025-04-03 14:17:11,741 - INFO - Software: PID: 5692, Name: RAVBg64.exe, Username: None
2025-04-03 14:17:11,742 - INFO - Software: PID: 5776, Name: svchost.exe, Username: None
2025-04-03 14:17:11,742 - INFO - Software: PID: 5836, Name: svchost.exe, Username: None
2025-04-03 14:17:11,742 - INFO - Software: PID: 6148, Name: SearchIndexer.exe, Username: None
2025-04-03 14:17:11,743 - INFO - Software: PID: 6564, Name: svchost.exe, Username: None
2025-04-03 14:17:11,743 - INFO - Software: PID: 6620, Name: taskhostw.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,743 - INFO - Software: PID: 6788, Name: svchost.exe, Username: None
2025-04-03 14:17:11,744 - INFO - Software: PID: 7044, Name: AggregatorHost.exe, Username: None
2025-04-03 14:17:11,744 - INFO - Software: PID: 7068, Name: dllhost.exe, Username: None
2025-04-03 14:17:11,744 - INFO - Software: PID: 7224, Name: Zalo.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,744 - INFO - Software: PID: 7244, Name: svchost.exe, Username: None
2025-04-03 14:17:11,745 - INFO - Software: PID: 7272, Name: msedge.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,745 - INFO - Software: PID: 7280, Name: SearchProtocolHost.exe, Username: None
2025-04-03 14:17:11,745 - INFO - Software: PID: 7308, Name: cmd.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,745 - INFO - Software: PID: 7340, Name: Code.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,746 - INFO - Software: PID: 7624, Name: Code.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,746 - INFO - Software: PID: 7628, Name: svchost.exe, Username: None
2025-04-03 14:17:11,746 - INFO - Software: PID: 7728, Name: sqlceip.exe, Username: None
2025-04-03 14:17:11,747 - INFO - Software: PID: 7740, Name: svchost.exe, Username: None
2025-04-03 14:17:11,747 - INFO - Software: PID: 8044, Name: svchost.exe, Username: None
2025-04-03 14:17:11,747 - INFO - Software: PID: 8072, Name: svchost.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,748 - INFO - Software: PID: 8368, Name: UniKeyNT.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,748 - INFO - Software: PID: 8444, Name: FileCoAuth.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,749 - INFO - Software: PID: 8652, Name: svchost.exe, Username: None
2025-04-03 14:17:11,749 - INFO - Software: PID: 8812, Name: Code.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,749 - INFO - Software: PID: 8972, Name: svchost.exe, Username: None
2025-04-03 14:17:11,750 - INFO - Software: PID: 9152, Name: Code.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,750 - INFO - Software: PID: 9224, Name: MoUsoCoreWorker.exe, Username: None
2025-04-03 14:17:11,750 - INFO - Software: PID: 9304, Name: svchost.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,750 - INFO - Software: PID: 9528, Name: svchost.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,751 - INFO - Software: PID: 9632, Name: explorer.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,751 - INFO - Software: PID: 9992, Name: svchost.exe, Username: None
2025-04-03 14:17:11,751 - INFO - Software: PID: 10052, Name: LockApp.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,751 - INFO - Software: PID: 10116, Name: svchost.exe, Username: None
2025-04-03 14:17:11,752 - INFO - Software: PID: 10152, Name: svchost.exe, Username: DESKTOP-DIKTGCA\DELL
2025-04-03 14:17:11,752 - INFO - Software: PID: 10420, Name: svchost.exe, Username: None
